temperature_degree_c,season,fishing_zone,fish_species_1,fish_species_2
19.2,Fall,Zone B,Sea Bass,Atlantic Salmon
7.6,Winter,Zone A,Redfish,Cod
12.3,Spring,Zone A,Cod,Flounder
18.4,Summer,Zone B,Haddock,Mackerel
22.0,Summer,Zone C,Pollock,Mackerel
14.1,Spring,Zone A,Herring,Cod
4.4,Winter,Zone A,Cod,Smelt
14.7,Spring,Zone A,Cod,Flounder
15.0,Fall,Zone B,Halibut,Sea Bass
15.1,Fall,Zone B,Sea Bass,Atlantic Salmon
21.0,Summer,Zone C,Pollock,Haddock
14.6,Spring,Zone A,Cod,Flounder
13.3,Spring,Zone A,Flounder,Herring
14.2,Spring,Zone A,Cod,Flounder
5.4,Winter,Zone A,Cod,Smelt
18.9,Fall,Zone B,Atlantic Salmon,Sea Bass
7.1,Winter,Zone A,Cod,Redfish
17.9,Spring,Zone B,Herring,Flounder
23.2,Summer,Zone C,Haddock,Pollock
16.3,Spring,Zone B,Flounder,Herring
17.0,Spring,Zone B,Cod,Herring
5.3,Winter,Zone A,Redfish,Cod
16.7,Fall,Zone B,Halibut,Atlantic Salmon
7.6,Winter,Zone A,Smelt,Redfish
6.3,Winter,Zone A,Smelt,Cod
19.2,Summer,Zone B,Haddock,Mackerel
18.1,Fall,Zone B,Sea Bass,Halibut
13.9,Spring,Zone A,Flounder,Cod
19.2,Fall,Zone B,Halibut,Sea Bass
12.1,Fall,Zone A,Halibut,Atlantic Salmon
7.3,Winter,Zone A,Cod,Redfish
18.7,Summer,Zone B,Pollock,Haddock
22.6,Summer,Zone C,Pollock,Haddock
13.6,Spring,Zone A,Cod,Flounder
12.1,Spring,Zone A,Cod,Herring
14.6,Spring,Zone A,Herring,Cod
17.3,Fall,Zone B,Halibut,Atlantic Salmon
19.5,Fall,Zone B,Sea Bass,Atlantic Salmon
16.7,Fall,Zone B,Sea Bass,Halibut
20.8,Summer,Zone C,Pollock,Haddock
7.5,Winter,Zone A,Smelt,Redfish
20.2,Summer,Zone C,Pollock,Mackerel
5.0,Winter,Zone A,Redfish,Cod
12.7,Spring,Zone A,Cod,Flounder
7.4,Winter,Zone A,Smelt,Cod
15.7,Fall,Zone B,Halibut,Atlantic Salmon
12.3,Fall,Zone A,Halibut,Atlantic Salmon
21.2,Summer,Zone C,Mackerel,Haddock
12.8,Fall,Zone A,Sea Bass,Halibut
21.6,Summer,Zone C,Haddock,Pollock
12.1,Spring,Zone A,Cod,Flounder
17.9,Fall,Zone B,Sea Bass,Halibut
18.2,Summer,Zone B,Haddock,Mackerel
16.5,Fall,Zone B,Sea Bass,Halibut
19.4,Summer,Zone B,Haddock,Pollock
19.8,Summer,Zone B,Pollock,Haddock
21.1,Summer,Zone C,Haddock,Pollock
4.1,Winter,Zone A,Cod,Redfish
5.3,Winter,Zone A,Redfish,Smelt
6.7,Winter,Zone A,Smelt,Redfish
13.3,Spring,Zone A,Cod,Flounder
12.9,Fall,Zone A,Halibut,Atlantic Salmon
14.7,Fall,Zone A,Sea Bass,Atlantic Salmon
8.6,Winter,Zone A,Cod,Redfish
15.5,Fall,Zone B,Atlantic Salmon,Halibut
13.8,Spring,Zone A,Herring,Cod
13.3,Spring,Zone A,Herring,Cod
24.4,Summer,Zone C,Pollock,Haddock
6.5,Winter,Zone A,Redfish,Cod
13.6,Fall,Zone A,Atlantic Salmon,Halibut
22.6,Summer,Zone C,Haddock,Pollock
12.9,Spring,Zone A,Flounder,Herring
9.4,Winter,Zone A,Smelt,Cod
19.9,Summer,Zone B,Haddock,Mackerel
7.7,Winter,Zone A,Cod,Smelt
7.7,Winter,Zone A,Smelt,Redfish
19.3,Fall,Zone B,Halibut,Sea Bass
23.7,Summer,Zone C,Mackerel,Haddock
17.7,Spring,Zone B,Flounder,Herring
16.4,Fall,Zone B,Sea Bass,Halibut
17.7,Fall,Zone B,Halibut,Sea Bass
6.4,Winter,Zone A,Cod,Redfish
6.1,Winter,Zone A,Smelt,Redfish
7.5,Winter,Zone A,Redfish,Cod
24.2,Summer,Zone C,Pollock,Mackerel
10.2,Spring,Zone A,Cod,Herring
18.7,Summer,Zone B,Mackerel,Pollock
21.4,Summer,Zone C,Haddock,Pollock
17.9,Fall,Zone B,Halibut,Atlantic Salmon
9.4,Winter,Zone A,Cod,Redfish
19.0,Summer,Zone B,Haddock,Mackerel
22.4,Summer,Zone C,Haddock,Mackerel
7.5,Winter,Zone A,Smelt,Cod
17.4,Spring,Zone B,Herring,Cod
12.8,Spring,Zone A,Herring,Flounder
21.1,Summer,Zone C,Mackerel,Pollock
9.5,Winter,Zone A,Redfish,Cod
17.0,Fall,Zone B,Halibut,Sea Bass
17.2,Fall,Zone B,Halibut,Atlantic Salmon
14.3,Spring,Zone A,Herring,Flounder
12.5,Spring,Zone A,Herring,Flounder
22.2,Summer,Zone C,Mackerel,Haddock
8.9,Winter,Zone A,Smelt,Redfish
14.3,Fall,Zone A,Halibut,Atlantic Salmon
23.9,Summer,Zone C,Haddock,Mackerel
9.1,Winter,Zone A,Cod,Smelt
11.3,Spring,Zone A,Flounder,Cod
17.9,Fall,Zone B,Atlantic Salmon,Sea Bass
5.3,Winter,Zone A,Smelt,Redfish
17.3,Spring,Zone B,Cod,Flounder
22.7,Summer,Zone C,Pollock,Mackerel
7.0,Winter,Zone A,Redfish,Smelt
6.4,Winter,Zone A,Smelt,Cod
21.1,Summer,Zone C,Mackerel,Haddock
18.5,Summer,Zone B,Pollock,Mackerel
16.8,Fall,Zone B,Halibut,Atlantic Salmon
13.2,Spring,Zone A,Flounder,Herring
22.4,Summer,Zone C,Pollock,Haddock
22.2,Summer,Zone C,Haddock,Mackerel
