temperature_degree_c,season,fishing_zone,fish_species_1,fish_species_2,salinity_psu
19.2,Fall,Zone B,Sea Bass,Atlantic Salmon,32.54
7.6,Winter,Zone A,Redfish,Cod,33.3
12.3,Spring,Zone A,Cod,Flounder,31.96
18.4,Summer,Zone B,Haddock,Mackerel,33.09
22.0,Summer,Zone C,Pollock,Mackerel,32.03
14.1,Spring,Zone A,Herring,Cod,31.43
4.4,Winter,Zone A,Cod,Smelt,34.32
14.7,Spring,Zone A,Cod,Flounder,31.9
15.0,Fall,Zone B,Halibut,Sea Bass,32.27
15.1,Fall,Zone B,Sea Bass,Atlantic Salmon,32.77
21.0,Summer,Zone C,Pollock,Haddock,31.97
14.6,Spring,Zone A,Cod,Flounder,31.29
13.3,Spring,Zone A,Flounder,Herring,31.71
14.2,Spring,Zone A,Cod,Flounder,30.58
5.4,Winter,Zone A,Cod,Smelt,32.62
18.9,Fall,Zone B,Atlantic Salmon,Sea Bass,32.02
7.1,Winter,Zone A,Cod,Redfish,32.89
17.9,Spring,Zone B,Herring,Flounder,31.51
23.2,Summer,Zone C,Haddock,Pollock,31.64
16.3,Spring,Zone B,Flounder,Herring,30.73
17.0,Spring,Zone B,Cod,Herring,32.13
5.3,Winter,Zone A,Redfish,Cod,33.37
16.7,Fall,Zone B,Halibut,Atlantic Salmon,32.45
7.6,Winter,Zone A,Smelt,Redfish,32.66
6.3,Winter,Zone A,Smelt,Cod,33.16
19.2,Summer,Zone B,Haddock,Mackerel,32.35
18.1,Fall,Zone B,Sea Bass,Halibut,31.77
13.9,Spring,Zone A,Flounder,Cod,31.74
19.2,Fall,Zone B,Halibut,Sea Bass,31.99
12.1,Fall,Zone A,Halibut,Atlantic Salmon,32.5
7.3,Winter,Zone A,Cod,Redfish,33.08
18.7,Summer,Zone B,Pollock,Haddock,33.24
22.6,Summer,Zone C,Pollock,Haddock,32.11
13.6,Spring,Zone A,Cod,Flounder,31.04
12.1,Spring,Zone A,Cod,Herring,32.06
14.6,Spring,Zone A,Herring,Cod,30.91
17.3,Fall,Zone B,Halibut,Atlantic Salmon,32.49
19.5,Fall,Zone B,Sea Bass,Atlantic Salmon,31.3
16.7,Fall,Zone B,Sea Bass,Halibut,31.75
20.8,Summer,Zone C,Pollock,Haddock,32.31
7.5,Winter,Zone A,Smelt,Redfish,33.74
20.2,Summer,Zone C,Pollock,Mackerel,32.33
5.0,Winter,Zone A,Redfish,Cod,33.44
12.7,Spring,Zone A,Cod,Flounder,31.46
7.4,Winter,Zone A,Smelt,Cod,32.64
15.7,Fall,Zone B,Halibut,Atlantic Salmon,32.11
12.3,Fall,Zone A,Halibut,Atlantic Salmon,32.4
21.2,Summer,Zone C,Mackerel,Haddock,32.72
12.8,Fall,Zone A,Sea Bass,Halibut,32.78
21.6,Summer,Zone C,Haddock,Pollock,31.29
12.1,Spring,Zone A,Cod,Flounder,31.81
17.9,Fall,Zone B,Sea Bass,Halibut,32.16
18.2,Summer,Zone B,Haddock,Mackerel,32.0
16.5,Fall,Zone B,Sea Bass,Halibut,32.73
19.4,Summer,Zone B,Haddock,Pollock,32.8
19.8,Summer,Zone B,Pollock,Haddock,32.73
21.1,Summer,Zone C,Haddock,Pollock,31.78
4.1,Winter,Zone A,Cod,Redfish,33.39
5.3,Winter,Zone A,Redfish,Smelt,33.65
6.7,Winter,Zone A,Smelt,Redfish,33.9
13.3,Spring,Zone A,Cod,Flounder,31.35
12.9,Fall,Zone A,Halibut,Atlantic Salmon,32.51
14.7,Fall,Zone A,Sea Bass,Atlantic Salmon,31.96
8.6,Winter,Zone A,Cod,Redfish,32.72
15.5,Fall,Zone B,Atlantic Salmon,Halibut,32.88
13.8,Spring,Zone A,Herring,Cod,32.24
13.3,Spring,Zone A,Herring,Cod,31.55
24.4,Summer,Zone C,Pollock,Haddock,32.53
6.5,Winter,Zone A,Redfish,Cod,33.61
13.6,Fall,Zone A,Atlantic Salmon,Halibut,32.25
22.6,Summer,Zone C,Haddock,Pollock,32.3
12.9,Spring,Zone A,Flounder,Herring,32.37
9.4,Winter,Zone A,Smelt,Cod,33.26
19.9,Summer,Zone B,Haddock,Mackerel,33.04
7.7,Winter,Zone A,Cod,Smelt,32.06
7.7,Winter,Zone A,Smelt,Redfish,33.78
19.3,Fall,Zone B,Halibut,Sea Bass,32.33
23.7,Summer,Zone C,Mackerel,Haddock,31.92
17.7,Spring,Zone B,Flounder,Herring,31.41
16.4,Fall,Zone B,Sea Bass,Halibut,31.44
17.7,Fall,Zone B,Halibut,Sea Bass,32.26
6.4,Winter,Zone A,Cod,Redfish,33.61
6.1,Winter,Zone A,Smelt,Redfish,34.18
7.5,Winter,Zone A,Redfish,Cod,33.12
24.2,Summer,Zone C,Pollock,Mackerel,31.64
10.2,Spring,Zone A,Cod,Herring,31.49
18.7,Summer,Zone B,Mackerel,Pollock,32.77
21.4,Summer,Zone C,Haddock,Pollock,32.34
17.9,Fall,Zone B,Halibut,Atlantic Salmon,32.09
9.4,Winter,Zone A,Cod,Redfish,33.54
19.0,Summer,Zone B,Haddock,Mackerel,32.35
22.4,Summer,Zone C,Haddock,Mackerel,32.61
7.5,Winter,Zone A,Smelt,Cod,33.02
17.4,Spring,Zone B,Herring,Cod,31.22
12.8,Spring,Zone A,Herring,Flounder,31.41
21.1,Summer,Zone C,Mackerel,Pollock,31.46
9.5,Winter,Zone A,Redfish,Cod,33.42
17.0,Fall,Zone B,Halibut,Sea Bass,32.53
17.2,Fall,Zone B,Halibut,Atlantic Salmon,32.39
14.3,Spring,Zone A,Herring,Flounder,31.42
12.5,Spring,Zone A,Herring,Flounder,30.92
22.2,Summer,Zone C,Mackerel,Haddock,31.93
8.9,Winter,Zone A,Smelt,Redfish,33.13
14.3,Fall,Zone A,Halibut,Atlantic Salmon,32.13
23.9,Summer,Zone C,Haddock,Mackerel,31.97
9.1,Winter,Zone A,Cod,Smelt,33.5
11.3,Spring,Zone A,Flounder,Cod,32.63
17.9,Fall,Zone B,Atlantic Salmon,Sea Bass,32.44
5.3,Winter,Zone A,Smelt,Redfish,33.61
17.3,Spring,Zone B,Cod,Flounder,31.35
22.7,Summer,Zone C,Pollock,Mackerel,31.16
7.0,Winter,Zone A,Redfish,Smelt,33.39
6.4,Winter,Zone A,Smelt,Cod,33.46
21.1,Summer,Zone C,Mackerel,Haddock,33.43
